time_range, announc_as_counter, announc_as_counter_ip, num_path_dict_before, num_as_pairs, source_as_counter, prev_peer_as, prev_announc_as, path_presence
23:57:50-23:57:54,1,67,0,0,0,8758,50304,1
23:57:55-23:57:59,1,90,0,0,0,8758,50304,1
23:58:00-23:58:04,1,46,0,0,13,8758,50304,1
23:58:05-23:58:09,1,60,0,0,0,8758,50304,1
23:58:10-23:58:14,1,36,0,0,0,8758,50304,1
23:58:15-23:58:19,1,93,0,0,37,8758,50304,1
23:58:20-23:58:24,1,32,0,0,0,8758,50304,1
23:58:25-23:58:29,1,31,0,0,0,8758,50304,1
23:58:30-23:58:34,1,36,0,0,0,8758,50304,1
23:58:35-23:58:39,1,57,0,0,5,8758,50304,1
23:58:40-23:58:44,1,45,0,0,0,8758,50304,1
23:58:45-23:58:49,1,42,0,0,0,8758,50304,1
23:58:50-23:58:54,1,44,0,0,48,8758,50304,1
23:58:55-23:58:59,1,39,0,0,0,8758,50304,1
23:59:00-23:59:04,1,35,0,0,0,8758,50304,1
23:59:05-23:59:09,1,12,0,0,10,8758,50304,1
23:59:10-23:59:14,1,29,0,0,0,8758,50304,1
23:59:15-23:59:19,1,61,0,0,0,8758,50304,1
23:59:20-23:59:24,1,84,0,0,29,8758,50304,1
23:59:25-23:59:29,1,39,0,0,0,8758,50304,1
23:59:30-23:59:34,1,44,0,0,0,8758,50304,1
23:59:35-23:59:39,1,50,0,0,6,8758,50304,1
23:59:40-23:59:44,1,64,0,0,0,8758,50304,1
23:59:45-23:59:49,1,61,0,0,0,8758,50304,1
23:59:50-23:59:54,1,42,0,0,26,8758,50304,1
23:59:55-23:59:59,1,56,0,0,0,8758,50304,1
23:57:00-23:57:04,0,0,0,0,33,3333,50304,1
23:57:05-23:57:09,0,0,0,0,15,3333,50304,1
23:57:10-23:57:14,0,0,0,0,12,3333,50304,1
23:57:15-23:57:19,0,0,0,0,16,3333,50304,1
23:57:20-23:57:24,0,0,0,0,6,3333,50304,1
23:57:25-23:57:29,0,0,0,0,24,3333,50304,1
23:57:30-23:57:34,0,0,0,0,32,3333,50304,1
23:57:35-23:57:39,0,0,0,0,25,3333,50304,1
23:57:40-23:57:44,0,0,0,0,30,3333,50304,1
23:57:45-23:57:49,0,0,0,1,28,3333,50304,1
23:57:50-23:57:54,0,0,0,0,75,3333,50304,1
